Time(ns) 	 Current(Amp)
0	0
0.035	5.0
0.215	5.0
0.25	5.0
0.5	5.0
0.535	5.0
0.715	5.0
0.75	5.0
1.0	5.0
1.035	5.0
1.215	5.0
1.25	5.0
1.5	5.0
1.535	5.0
1.715	5.0
1.75	5.0
2.0	5.0
2.035	5.0
2.215	5.0
2.25	5.0
2.5	5.0
2.535	5.0
2.715	5.0
2.75	5.0
3.0	5.0
3.035	5.0
3.215	5.0
3.25	5.0
3.5	5.0
3.535	5.0
3.715	5.0
3.75	5.0
4.0	5.0
4.035	5.0
4.215	5.0
4.25	5.0
4.5	5.0
4.535	5.0
4.715	5.0
4.75	5.0
5.0	5.0
5.035	5.0
5.215	5.0
5.25	5.0
5.5	5.0
5.535	5.0
5.715	5.0
5.75	5.0
6.0	5.0
6.035	5.0
6.215	5.0
6.25	5.0
6.5	5.0
6.535	5.0
6.715	5.0
6.75	5.0
7.0	5.0
7.035	5.0
7.215	5.0
7.25	5.0
7.5	5.0
7.535	5.0
7.715	5.0
7.75	5.0
8.0	5.0
8.035	5.0
8.215	5.0
8.25	5.0
8.5	5.0
8.535	5.0
8.715	5.0
8.75	5.0
9.0	5.0
9.035	5.0
9.215	5.0
9.25	5.0
9.5	5.0
9.535	5.0
9.715	5.0
9.75	5.0
10.0	5.0
10.035	5.125
10.215	5.125
10.25	5.0
10.5	5.0
10.535	5.25
10.715	5.25
10.75	5.0
11.0	5.0
11.035	5.375
11.215	5.375
11.25	5.0
11.5	5.0
11.535	5.5
11.715	5.5
11.75	5.0
12.0	5.0
12.035	5.625
12.215	5.625
12.25	5.0
12.5	5.0
12.535	5.75
12.715	5.75
12.75	5.0
13.0	5.0
13.035	5.875
13.215	5.875
13.25	5.0
13.5	5.0
13.535	6.0
13.715	6.0
13.75	5.0
14.0	5.0
14.035	6.125
14.215	6.125
14.25	5.0
14.5	5.0
14.535	6.25
14.715	6.25
14.75	5.0
15.0	5.0
15.035	6.375
15.215	6.375
15.25	5.0
15.5	5.0
15.535	6.5
15.715	6.5
15.75	5.0
16.0	5.0
16.035	6.625
16.215	6.625
16.25	5.0
16.5	5.0
16.535	6.75
16.715	6.75
16.75	5.0
17.0	5.0
17.035	6.875
17.215	6.875
17.25	5.0
17.5	5.0
17.535	7.0
17.715	7.0
17.75	5.0
18.0	5.0
18.035	7.125
18.215	7.125
18.25	5.0
18.5	5.0
18.535	7.25
18.715	7.25
18.75	5.0
19.0	5.0
19.035	7.375
19.215	7.375
19.25	5.0
19.5	5.0
19.535	7.5
19.715	7.5
19.75	5.0
20.0	5.0
20.035	7.625
20.215	7.625
20.25	5.0
20.5	5.0
20.535	7.75
20.715	7.75
20.75	5.0
21.0	5.0
21.035	7.875
21.215	7.875
21.25	5.0
21.5	5.0
