Time(ns) 	 Current(Amp)
0	0
0.125	0.15
0.5	0.24
0.625	0.27
1.0	0.36
1.125	0.39
1.5	0.48
1.625	0.51
2.0	0.6
2.125	0.63
2.5	0.72
2.625	0.75
3.0	0.84
3.125	0.87
3.5	0.96
3.625	0.99
4.0	1.08
4.125	1.11
4.5	1.2000000000000002
4.625	1.23
5.0	1.3199999999999998
5.125	1.3499999999999999
5.5	1.44
5.625	1.47
6.0	1.56
6.125	1.59
6.5	1.6800000000000002
6.625	1.71
7.0	1.7999999999999998
7.125	1.8299999999999998
7.5	1.92
7.625	1.95
8.0	2.04
8.125	2.07
8.5	2.16
8.625	2.19
9.0	2.2800000000000002
9.125	2.3099999999999996
9.5	2.4
9.625	2.4299999999999997
10.0	2.52
10.125	2.55
10.5	2.64
10.625	2.6699999999999995
11.0	2.76
11.125	2.7899999999999996
11.5	2.88
11.625	2.9099999999999997
12.0	3.0
12.125	3.03
12.5	3.12
12.625	3.15
13.0	3.24
13.125	3.2699999999999996
13.5	3.36
13.625	3.3899999999999997
14.0	3.48
14.125	3.51
14.5	3.6
14.625	3.6299999999999994
15.0	3.7199999999999998
15.125	3.7499999999999996
15.5	3.84
15.625	3.8699999999999997
16.0	3.96
16.125	3.9899999999999998
16.5	4.08
16.625	4.11
17.0	4.2
17.125	4.23
17.5	4.32
17.625	4.3500000000000005
18.0	4.44
18.125	4.47
18.5	4.56
18.625	4.59
19.0	4.68
19.125	4.71
19.5	4.8
19.625	4.83
20.0	4.92
20.125	4.95
20.5	5.04
20.625	5.07
21.0	5.16
21.125	5.19
21.5	5.28
21.625	5.31
22.0	5.3999999999999995
22.125	5.43
22.5	5.52
22.625	5.55
23.0	5.64
23.125	5.67
23.5	5.76
23.625	5.79
24.0	5.88
24.125	5.91
24.5	6.0
24.625	6.03
25.0	6.12
25.125	6.15
25.5	6.24
25.625	6.2700000000000005
26.0	6.36
26.125	6.39
26.5	6.4799999999999995
26.625	6.51
27.0	6.6
27.125	6.63
27.5	6.72
27.625	6.75
28.0	6.84
28.125	6.87
28.5	6.96
28.625	6.99
29.0	7.08
29.125	7.11
29.5	7.2
29.625	7.2299999999999995
30.0	7.319999999999999
30.125	7.35
30.5	7.4399999999999995
30.625	7.47
31.0	7.56
31.125	7.59
31.5	7.68
31.625	7.71
32.0	7.8
32.125	7.83
32.5	7.92
32.625	7.95
33.0	8.04
33.125	8.069999999999999
33.5	8.159999999999998
33.625	8.19
34.0	8.28
34.125	8.309999999999999
34.5	8.399999999999999
34.625	8.43
35.0	8.52
35.125	8.549999999999999
35.5	8.639999999999999
35.625	8.67
36.0	8.76
36.125	8.79
36.5	8.879999999999999
36.625	8.909999999999998
37.0	8.999999999999998
37.125	9.03
37.5	9.12
37.625	9.149999999999999
38.0	9.239999999999998
38.125	9.27
38.5	9.36
38.625	9.389999999999999
39.0	9.479999999999999
39.125	9.51
39.5	9.6
39.625	9.629999999999999
40.0	9.719999999999999
40.125	9.749999999999998
40.5	9.839999999999998
40.625	9.87
41.0	9.959999999999999
41.125	9.989999999999998
41.5	10.079999999999998
41.625	10.11
42.0	10.2
42.125	10.229999999999999
42.5	10.319999999999999
42.625	10.35
43.0	10.44
43.125	10.469999999999999
43.5	10.559999999999999
43.625	10.589999999999998
44.0	10.679999999999998
44.125	10.709999999999999
44.5	10.799999999999999
44.625	10.829999999999998
45.0	10.919999999999998
45.125	10.95
45.5	11.04
45.625	11.069999999999999
46.0	11.159999999999998
46.125	11.19
46.5	11.28
46.625	11.309999999999999
47.0	11.399999999999999
47.125	11.43
47.5	11.52
47.625	11.549999999999999
48.0	11.639999999999999
48.125	11.669999999999998
48.5	11.759999999999998
48.625	11.79
49.0	11.879999999999999
49.125	11.909999999999998
49.5	11.999999999999998
49.625	12.03
50.0	12.12
50.125	12.149999999999999
50.5	12.239999999999998
50.625	12.27
51.0	12.36
51.125	12.389999999999999
51.5	12.479999999999999
51.625	12.51
52.0	12.6
52.125	12.629999999999999
52.5	12.719999999999999
52.625	12.749999999999998
53.0	12.839999999999998
53.125	12.87
53.5	12.959999999999999
53.625	12.989999999999998
54.0	13.079999999999998
54.125	13.11
54.5	13.2
54.625	13.229999999999999
55.0	13.319999999999999
55.125	13.35
55.5	13.44
55.625	13.469999999999999
56.0	13.559999999999999
56.125	13.589999999999998
56.5	13.679999999999998
56.625	13.709999999999999
57.0	13.799999999999999
57.125	13.829999999999998
57.5	13.919999999999998
57.625	13.95
58.0	14.04
58.125	14.069999999999999
58.5	14.159999999999998
58.625	14.19
59.0	14.28
59.125	14.309999999999999
59.5	14.399999999999999
59.625	14.429999999999998
60.0	14.519999999999998
60.125	14.549999999999999
60.5	14.639999999999999
60.625	14.669999999999998
61.0	14.759999999999998
61.125	14.79
61.5	14.879999999999999
61.625	14.909999999999998
62.0	14.999999999999998
62.125	15.03
62.5	15.12
62.625	15.149999999999999
63.0	15.239999999999998
63.125	15.27
63.5	15.36
63.625	15.389999999999999
64.0	15.479999999999999
64.125	15.509999999999998
64.5	15.599999999999998
64.625	15.629999999999999
65.0	15.719999999999999
65.125	15.749999999999998
65.5	15.839999999999998
65.625	15.87
66.0	15.959999999999999
66.125	15.989999999999998
66.5	16.08
66.625	16.11
67.0	16.2
67.125	16.23
67.5	16.32
67.625	16.35
68.0	16.44
68.125	16.47
68.5	16.56
68.625	16.59
69.0	16.68
69.125	16.71
69.5	16.8
69.625	16.830000000000002
70.0	16.92
70.125	16.95
70.5	17.04
70.625	17.07
71.0	17.16
71.125	17.19
71.5	17.28
71.625	17.310000000000002
72.0	17.400000000000002
72.125	17.43
72.5	17.52
72.625	17.55
73.0	17.64
73.125	17.67
73.5	17.76
73.625	17.79
74.0	17.88
74.125	17.91
74.5	18.0
74.625	18.03
75.0	18.12
75.125	18.150000000000002
75.5	18.240000000000002
75.625	18.27
76.0	18.36
76.125	18.39
76.5	18.48
76.625	18.51
77.0	18.6
77.125	18.63
77.5	18.72
77.625	18.75
78.0	18.84
78.125	18.87
78.5	18.96
78.625	18.990000000000002
79.0	19.080000000000002
79.125	19.11
79.5	19.2
79.625	19.23
80.0	19.32
80.125	19.35
80.5	19.44
80.625	19.47
81.0	19.56
81.125	19.59
81.5	19.68
81.625	19.71
82.0	19.8
82.125	19.830000000000002
82.5	19.92
82.625	19.95
83.0	20.04
83.125	20.07
83.5	20.16
83.625	20.19
84.0	20.28
84.125	20.31
84.5	20.4
84.625	20.43
85.0	20.52
85.125	20.55
85.5	20.64
85.625	20.67
86.0	20.76
86.125	20.79
86.5	20.88
86.625	20.91
87.0	21.0
87.125	21.03
87.5	21.12
87.625	21.15
88.0	21.24
88.125	21.27
88.5	21.36
88.625	21.39
89.0	21.48
89.125	21.51
89.5	21.6
89.625	21.63
90.0	21.72
90.125	21.75
90.5	21.84
90.625	21.87
91.0	21.96
91.125	21.990000000000002
91.5	22.080000000000002
91.625	22.11
92.0	22.2
92.125	22.23
92.5	22.32
92.625	22.35
93.0	22.44
93.125	22.47
93.5	22.56
93.625	22.59
94.0	22.68
94.125	22.71
94.5	22.8
94.625	22.830000000000002
95.0	22.92
95.125	22.95
95.5	23.04
95.625	23.07
96.0	23.16
96.125	23.19
96.5	23.28
96.625	23.31
97.0	23.4
97.125	23.43
97.5	23.52
97.625	23.55
98.0	23.64
98.125	23.67
98.5	23.76
98.625	23.79
99.0	23.88
99.125	23.91
99.5	24.0
99.625	24.03
100.0	24.12
100.035	24.38
100.215	24.38
100.25	24.0
100.5	24.0
100.535	24.76
100.715	24.76
100.75	24.0
101.0	24.0
101.035	25.14
101.215	25.14
101.25	24.0
101.5	24.0
101.535	25.52
101.715	25.52
101.75	24.0
102.0	24.0
102.035	25.9
102.215	25.9
102.25	24.0
102.5	24.0
102.535	26.28
102.715	26.28
102.75	24.0
103.0	24.0
103.035	26.66
103.215	26.66
103.25	24.0
103.5	24.0
103.535	27.04
103.715	27.04
103.75	24.0
104.0	24.0
104.035	27.42
104.215	27.42
104.25	24.0
104.5	24.0
104.535	27.8
104.715	27.8
104.75	24.0
105.0	24.0
105.035	28.18
105.215	28.18
105.25	24.0
105.5	24.0
105.535	28.560000000000002
105.715	28.560000000000002
105.75	24.0
106.0	24.0
106.035	28.94
106.215	28.94
106.25	24.0
106.5	24.0
106.535	29.32
106.715	29.32
106.75	24.0
107.0	24.0
107.035	29.7
107.215	29.7
107.25	24.0
107.5	24.0
107.535	30.08
107.715	30.08
107.75	24.0
108.0	24.0
108.035	30.46
108.215	30.46
108.25	24.0
108.5	24.0
108.535	30.84
108.715	30.84
108.75	24.0
109.0	24.0
109.035	31.22
109.215	31.22
109.25	24.0
109.5	24.0
109.535	31.6
109.715	31.6
109.75	24.0
110.0	24.0
110.035	31.98
110.215	31.98
110.25	24.0
110.5	24.0
110.535	32.36
110.715	32.36
110.75	24.0
111.0	24.0
111.035	32.74
111.215	32.74
111.25	24.0
111.5	24.0
111.535	33.120000000000005
111.715	33.120000000000005
111.75	24.0
112.0	24.0
112.035	33.5
112.215	33.5
112.25	24.0
112.5	24.0
112.535	33.88
112.715	33.88
112.75	24.0
113.0	24.0
113.035	34.26
113.215	34.26
113.25	24.0
113.5	24.0
113.535	34.64
113.715	34.64
113.75	24.0
114.0	24.0
114.035	35.019999999999996
114.215	35.019999999999996
114.25	24.0
114.5	24.0
114.535	35.4
114.715	35.4
114.75	24.0
115.0	24.0
115.035	35.78
115.215	35.78
115.25	24.0
115.5	24.0
115.535	36.16
115.715	36.16
115.75	24.0
116.0	24.0
116.035	36.54
116.215	36.54
116.25	24.0
116.5	24.0
116.535	36.92
116.715	36.92
116.75	24.0
117.0	24.0
117.035	37.3
117.215	37.3
117.25	24.0
117.5	24.0
117.535	37.68
117.715	37.68
117.75	24.0
118.0	24.0
118.035	38.06
118.215	38.06
118.25	24.0
118.5	24.0
118.535	38.44
118.715	38.44
118.75	24.0
119.0	24.0
119.035	38.82
119.215	38.82
119.25	24.0
119.5	24.0
119.535	39.2
119.715	39.2
119.75	24.0
120.0	24.0
120.035	39.58
120.215	39.58
120.25	24.0
120.5	24.0
120.535	39.96
120.715	39.96
120.75	24.0
121.0	24.0
121.035	40.34
121.215	40.34
121.25	24.0
121.5	24.0
121.535	40.72
121.715	40.72
121.75	24.0
122.0	24.0
122.035	41.1
122.215	41.1
122.25	24.0
122.5	24.0
122.535	41.480000000000004
122.715	41.480000000000004
122.75	24.0
123.0	24.0
123.035	41.86
123.215	41.86
123.25	24.0
123.5	24.0
123.535	42.24
123.715	42.24
123.75	24.0
124.0	24.0
124.035	42.620000000000005
124.215	42.620000000000005
124.25	24.0
124.5	24.0
124.535	43.0
124.715	43.0
124.75	24.0
125.0	24.0
125.035	43.379999999999995
125.215	43.379999999999995
125.25	24.0
125.5	24.0
125.535	43.760000000000005
125.715	43.760000000000005
125.75	24.0
126.0	24.0
126.035	44.14
126.215	44.14
126.25	24.0
126.5	24.0
126.535	44.519999999999996
126.715	44.519999999999996
126.75	24.0
127.0	24.0
127.035	44.9
127.215	44.9
127.25	24.0
127.5	24.0
127.535	45.28
127.715	45.28
127.75	24.0
128.0	24.0
128.035	45.66
128.215	45.66
128.25	24.0
128.5	24.0
128.535	46.04
128.715	46.04
128.75	24.0
129.0	24.0
129.035	46.42
129.215	46.42
129.25	24.0
129.5	24.0
129.535	46.8
129.715	46.8
129.75	24.0
130.0	24.0
130.035	47.18
130.215	47.18
130.25	24.0
130.5	24.0
130.535	47.56
130.715	47.56
130.75	24.0
131.0	24.0
131.035	47.94
131.215	47.94
131.25	24.0
131.5	24.0
131.535	48.32
131.715	48.32
131.75	24.0
132.0	24.0
132.035	48.7
132.215	48.7
132.25	24.0
132.5	24.0
132.535	49.08
132.715	49.08
132.75	24.0
133.0	24.0
133.035	49.46
133.215	49.46
133.25	24.0
133.5	24.0
133.535	49.84
133.715	49.84
133.75	24.0
134.0	24.0
134.035	50.22
134.215	50.22
134.25	24.0
134.5	24.0
134.535	50.6
134.715	50.6
134.75	24.0
135.0	24.0
135.035	50.980000000000004
135.215	50.980000000000004
135.25	24.0
135.5	24.0
135.535	51.36
135.715	51.36
135.75	24.0
136.0	24.0
136.035	51.74
136.215	51.74
136.25	24.0
136.5	24.0
136.535	52.120000000000005
136.715	52.120000000000005
136.75	24.0
137.0	24.0
137.035	52.5
137.215	52.5
137.25	24.0
137.5	24.0
137.535	52.879999999999995
137.715	52.879999999999995
137.75	24.0
138.0	24.0
138.035	53.260000000000005
138.215	53.260000000000005
138.25	24.0
138.5	24.0
138.535	53.64
138.715	53.64
138.75	24.0
139.0	24.0
139.035	54.019999999999996
139.215	54.019999999999996
139.25	24.0
139.5	24.0
139.535	54.4
139.715	54.4
139.75	24.0
140.0	24.0
140.035	54.78
140.215	54.78
140.25	24.0
140.5	24.0
140.535	55.16
140.715	55.16
140.75	24.0
141.0	24.0
141.035	55.54
141.215	55.54
141.25	24.0
141.5	24.0
141.535	55.92
141.715	55.92
141.75	24.0
142.0	24.0
142.035	56.3
142.215	56.3
142.25	24.0
142.5	24.0
142.535	56.68
142.715	56.68
142.75	24.0
143.0	24.0
143.035	57.06
143.215	57.06
143.25	24.0
143.5	24.0
143.535	57.44
143.715	57.44
143.75	24.0
144.0	24.0
144.035	57.82
144.215	57.82
144.25	24.0
144.5	24.0
144.535	58.2
144.715	58.2
144.75	24.0
145.0	24.0
145.035	58.58
145.215	58.58
145.25	24.0
145.5	24.0
145.535	58.96
145.715	58.96
145.75	24.0
146.0	24.0
146.035	59.34
146.215	59.34
146.25	24.0
146.5	24.0
146.535	59.72
146.715	59.72
146.75	24.0
147.0	24.0
147.035	60.1
147.215	60.1
147.25	24.0
147.5	24.0
147.535	60.480000000000004
147.715	60.480000000000004
147.75	24.0
148.0	24.0
148.035	60.86
148.215	60.86
148.25	24.0
148.5	24.0
148.535	61.24
148.715	61.24
148.75	24.0
149.0	24.0
149.035	61.62
149.215	61.62
149.25	24.0
149.5	24.0
149.535	62.0
149.715	62.0
149.75	24.0
150.0	24.0
150.035	62.38
150.215	62.38
150.25	24.0
150.5	24.0
150.535	62.76
150.715	62.76
150.75	24.0
151.0	24.0
151.035	63.14
151.215	63.14
151.25	24.0
151.5	24.0
151.535	63.52
151.715	63.52
151.75	24.0
152.0	24.0
152.035	63.9
152.215	63.9
152.25	24.0
152.5	24.0
152.535	64.28
152.715	64.28
152.75	24.0
153.0	24.0
153.035	64.66
153.215	64.66
153.25	24.0
153.5	24.0
153.535	65.03999999999999
153.715	65.03999999999999
153.75	24.0
154.0	24.0
154.035	65.42
154.215	65.42
154.25	24.0
154.5	24.0
154.535	65.8
154.715	65.8
154.75	24.0
155.0	24.0
155.035	66.18
155.215	66.18
155.25	24.0
155.5	24.0
155.535	66.56
155.715	66.56
155.75	24.0
156.0	24.0
156.035	66.94
156.215	66.94
156.25	24.0
156.5	24.0
156.535	67.32
156.715	67.32
156.75	24.0
157.0	24.0
157.035	67.7
157.215	67.7
157.25	24.0
157.5	24.0
157.535	68.08
157.715	68.08
157.75	24.0
158.0	24.0
158.035	68.46000000000001
158.215	68.46000000000001
158.25	24.0
158.5	24.0
158.535	68.84
158.715	68.84
158.75	24.0
159.0	24.0
159.035	69.22
159.215	69.22
159.25	24.0
159.5	24.0
159.535	69.6
159.715	69.6
159.75	24.0
160.0	24.0
160.035	69.98
160.215	69.98
160.25	24.0
160.5	24.0
160.535	70.36
160.715	70.36
160.75	24.0
161.0	24.0
161.035	70.74000000000001
161.215	70.74000000000001
161.25	24.0
161.5	24.0
161.535	71.12
161.715	71.12
161.75	24.0
162.0	24.0
162.035	71.5
162.215	71.5
162.25	24.0
162.5	24.0
162.535	71.88
162.715	71.88
162.75	24.0
163.0	24.0
163.035	72.25999999999999
163.215	72.25999999999999
163.25	24.0
163.5	24.0
163.535	72.64
163.715	72.64
163.75	24.0
164.0	24.0
164.035	73.02000000000001
164.215	73.02000000000001
164.25	24.0
164.5	24.0
164.535	73.4
164.715	73.4
164.75	24.0
165.0	24.0
165.035	73.78
165.215	73.78
165.25	24.0
165.5	24.0
165.535	74.16
165.715	74.16
165.75	24.0
166.0	24.0
166.035	74.53999999999999
166.215	74.53999999999999
166.25	24.0
166.5	24.0
166.535	74.92
166.715	74.92
166.75	24.0
167.0	24.0
167.035	75.3
167.215	75.3
167.25	24.0
167.5	24.0
167.535	75.68
167.715	75.68
167.75	24.0
168.0	24.0
168.035	76.06
168.215	76.06
168.25	24.0
168.5	24.0
168.535	76.44
168.715	76.44
168.75	24.0
169.0	24.0
169.035	76.82
169.215	76.82
169.25	24.0
169.5	24.0
169.535	77.2
169.715	77.2
169.75	24.0
170.0	24.0
170.035	77.58
170.215	77.58
170.25	24.0
170.5	24.0
170.535	77.96000000000001
170.715	77.96000000000001
170.75	24.0
171.0	24.0
171.035	78.34
171.215	78.34
171.25	24.0
171.5	24.0
171.535	78.72
171.715	78.72
171.75	24.0
172.0	24.0
172.035	79.1
172.215	79.1
172.25	24.0
172.5	24.0
172.535	79.48
172.715	79.48
172.75	24.0
173.0	24.0
173.035	79.86
173.215	79.86
173.25	24.0
173.5	24.0
173.535	80.24000000000001
173.715	80.24000000000001
173.75	24.0
174.0	24.0
174.035	80.62
174.215	80.62
174.25	24.0
174.5	24.0
174.535	81.0
174.715	81.0
174.75	24.0
175.0	24.0
175.035	81.38
175.215	81.38
175.25	24.0
175.5	24.0
175.535	81.75999999999999
175.715	81.75999999999999
175.75	24.0
176.0	24.0
176.035	82.14
176.215	82.14
176.25	24.0
176.5	24.0
176.535	82.52000000000001
176.715	82.52000000000001
176.75	24.0
177.0	24.0
177.035	82.9
177.215	82.9
177.25	24.0
177.5	24.0
177.535	83.28
177.715	83.28
177.75	24.0
178.0	24.0
178.035	83.66
178.215	83.66
178.25	24.0
178.5	24.0
178.535	84.03999999999999
178.715	84.03999999999999
178.75	24.0
179.0	24.0
179.035	84.42
179.215	84.42
179.25	24.0
179.5	24.0
179.535	84.8
179.715	84.8
179.75	24.0
180.0	24.0
180.035	85.18
180.215	85.18
180.25	24.0
180.5	24.0
180.535	85.56
180.715	85.56
180.75	24.0
181.0	24.0
181.035	85.94
181.215	85.94
181.25	24.0
181.5	24.0
181.535	86.32
181.715	86.32
181.75	24.0
182.0	24.0
182.035	86.7
182.215	86.7
182.25	24.0
182.5	24.0
182.535	87.08
182.715	87.08
182.75	24.0
183.0	24.0
183.035	87.46000000000001
183.215	87.46000000000001
183.25	24.0
183.5	24.0
183.535	87.84
183.715	87.84
183.75	24.0
184.0	24.0
184.035	88.22
184.215	88.22
184.25	24.0
184.5	24.0
184.535	88.6
184.715	88.6
184.75	24.0
185.0	24.0
185.035	88.98
185.215	88.98
185.25	24.0
185.5	24.0
185.535	89.36
185.715	89.36
185.75	24.0
