Time(ns) 	 Current(Amp)
0	0
0.125	8.0
0.5	8.0
0.625	8.0
1.0	8.0
1.125	8.0
1.5	8.0
1.625	8.0
2.0	8.0
2.125	8.0
2.5	8.0
2.625	8.0
3.0	8.0
3.125	8.0
3.5	8.0
3.625	8.0
4.0	8.0
4.125	8.0
4.5	8.0
4.625	8.0
5.0	8.0
5.125	8.0
5.5	8.0
5.625	8.0
6.0	8.0
6.125	8.0
6.5	8.0
6.625	8.0
7.0	8.0
7.125	8.0
7.5	8.0
7.625	8.0
8.0	8.0
8.125	8.0
8.5	8.0
8.625	8.0
9.0	8.0
9.125	8.0
9.5	8.0
9.625	8.0
10.0	8.0
10.125	8.0
10.5	8.0
10.625	8.0
11.0	8.0
11.125	8.0
11.5	8.0
11.625	8.0
12.0	8.0
12.125	8.0
12.5	8.0
12.625	8.0
13.0	8.0
13.125	8.0
13.5	8.0
13.625	8.0
14.0	8.0
14.125	8.0
14.5	8.0
14.625	8.0
15.0	8.0
15.125	8.0
15.5	8.0
15.625	8.0
16.0	8.0
16.125	8.0
16.5	8.0
16.625	8.0
17.0	8.0
17.125	8.0
17.5	8.0
17.625	8.0
18.0	8.0
18.125	8.0
18.5	8.0
18.625	8.0
19.0	8.0
19.125	8.0
19.5	8.0
19.625	8.0
20.0	8.0
20.125	8.0
20.5	8.0
20.625	8.0
21.0	8.0
21.125	8.0
21.5	8.0
21.625	8.0
22.0	8.0
22.125	8.0
22.5	8.0
22.625	8.0
23.0	8.0
23.125	8.0
23.5	8.0
23.625	8.0
24.0	8.0
24.125	8.0
24.5	8.0
24.625	8.0
25.0	8.0
25.125	8.0
25.5	8.0
25.625	8.0
26.0	8.0
26.125	8.0
26.5	8.0
26.625	8.0
27.0	8.0
27.125	8.0
27.5	8.0
27.625	8.0
28.0	8.0
28.125	8.0
28.5	8.0
28.625	8.0
29.0	8.0
29.125	8.0
29.5	8.0
29.625	8.0
30.0	8.0
30.125	8.0
30.5	8.0
30.625	8.0
31.0	8.0
31.125	8.0
31.5	8.0
31.625	8.0
32.0	8.0
32.125	8.0
32.5	8.0
32.625	8.0
33.0	8.0
33.125	8.0
33.5	8.0
33.625	8.0
34.0	8.0
34.125	8.0
34.5	8.0
34.625	8.0
35.0	8.0
35.125	8.0
35.5	8.0
35.625	8.0
36.0	8.0
36.125	8.0
36.5	8.0
36.625	8.0
37.0	8.0
37.125	8.0
