Time(ns) 	 Current(Amp)
0	0
0.035	5.0
0.215	5.0
0.25	0.0
0.5	0.0
0.535	5.0
0.715	5.0
0.75	0.0
1.0	0.0
1.035	5.0
1.215	5.0
1.25	0.0
1.5	0.0
1.535	5.0
1.715	5.0
1.75	0.0
2.0	0.0
2.035	5.0
2.215	5.0
2.25	0.0
2.5	0.0
2.535	5.0
2.715	5.0
2.75	0.0
3.0	0.0
3.035	5.0
3.215	5.0
3.25	0.0
3.5	0.0
3.535	5.0
3.715	5.0
3.75	0.0
4.0	0.0
4.035	5.0
4.215	5.0
4.25	0.0
4.5	0.0
4.535	5.0
4.715	5.0
4.75	0.0
5.0	0.0
5.035	5.0
5.215	5.0
5.25	0.0
5.5	0.0
5.535	5.0
5.715	5.0
5.75	0.0
6.0	0.0
6.035	5.0
6.215	5.0
6.25	0.0
6.5	0.0
6.535	5.0
6.715	5.0
6.75	0.0
7.0	0.0
7.035	5.0
7.215	5.0
7.25	0.0
7.5	0.0
7.535	5.0
7.715	5.0
7.75	0.0
8.0	0.0
8.035	5.0
8.215	5.0
8.25	0.0
8.5	0.0
8.535	5.0
8.715	5.0
8.75	0.0
9.0	0.0
9.035	5.0
9.215	5.0
9.25	0.0
9.5	0.0
9.535	5.0
9.715	5.0
9.75	0.0
10.0	0.0
10.035	7.0
10.215	7.0
10.25	0.0
10.5	0.0
10.535	9.0
10.715	9.0
10.75	0.0
11.0	0.0
11.035	11.0
11.215	11.0
11.25	0.0
11.5	0.0
11.535	13.0
11.715	13.0
11.75	0.0
12.0	0.0
12.035	15.0
12.215	15.0
12.25	0.0
12.5	0.0
12.535	17.0
12.715	17.0
12.75	0.0
13.0	0.0
13.035	19.0
13.215	19.0
13.25	0.0
13.5	0.0
13.535	21.0
13.715	21.0
13.75	0.0
14.0	0.0
14.035	23.0
14.215	23.0
14.25	0.0
14.5	0.0
14.535	25.0
14.715	25.0
14.75	0.0
15.0	0.0
15.035	25.0
15.215	25.0
15.25	0.0
15.5	0.0
15.535	25.0
15.715	25.0
15.75	0.0
16.0	0.0
16.035	25.0
16.215	25.0
16.25	0.0
16.5	0.0
16.535	25.0
16.715	25.0
16.75	0.0
17.0	0.0
17.035	25.0
17.215	25.0
17.25	0.0
17.5	0.0
17.535	25.0
17.715	25.0
17.75	0.0
18.0	0.0
18.035	25.0
18.215	25.0
18.25	0.0
18.5	0.0
18.535	25.0
18.715	25.0
18.75	0.0
19.0	0.0
19.035	25.0
19.215	25.0
19.25	0.0
19.5	0.0
19.535	25.0
19.715	25.0
19.75	0.0
20.0	0.0
20.035	25.0
20.215	25.0
20.25	0.0
20.5	0.0
20.535	25.0
20.715	25.0
20.75	0.0
21.0	0.0
21.035	25.0
21.215	25.0
21.25	0.0
21.5	0.0
