Time(ns) 	 Current(Amp)
0	0
0.035	1.0
0.215	1.0
0.25	1.0
0.5	1.0
0.535	1.0
0.715	1.0
0.75	1.0
1.0	1.0
1.035	1.0
1.215	1.0
1.25	1.0
1.5	1.0
1.535	1.0
1.715	1.0
1.75	1.0
2.0	1.0
2.035	1.0
2.215	1.0
2.25	1.0
2.5	1.0
2.535	1.0
2.715	1.0
2.75	1.0
3.0	1.0
3.035	1.0
3.215	1.0
3.25	1.0
3.5	1.0
3.535	1.0
3.715	1.0
3.75	1.0
4.0	1.0
4.035	1.0
4.215	1.0
4.25	1.0
4.5	1.0
4.535	1.0
4.715	1.0
4.75	1.0
5.0	1.0
5.035	1.0
5.215	1.0
5.25	1.0
5.5	1.0
5.535	1.0
5.715	1.0
5.75	1.0
6.0	1.0
6.035	1.0
6.215	1.0
6.25	1.0
6.5	1.0
6.535	1.0
6.715	1.0
6.75	1.0
7.0	1.0
7.035	1.0
7.215	1.0
7.25	1.0
7.5	1.0
7.535	1.0
7.715	1.0
7.75	1.0
8.0	1.0
8.035	1.0
8.215	1.0
8.25	1.0
8.5	1.0
8.535	1.0
8.715	1.0
8.75	1.0
9.0	1.0
9.035	1.0
9.215	1.0
9.25	1.0
9.5	1.0
9.535	1.0
9.715	1.0
9.75	1.0
10.0	1.0
10.035	1.055
10.215	1.055
10.25	1.0
10.5	1.0
10.535	1.11
10.715	1.11
10.75	1.0
11.0	1.0
11.035	1.165
11.215	1.165
11.25	1.0
11.5	1.0
11.535	1.22
11.715	1.22
11.75	1.0
12.0	1.0
12.035	1.275
12.215	1.275
12.25	1.0
12.5	1.0
12.535	1.33
12.715	1.33
12.75	1.0
13.0	1.0
13.035	1.385
13.215	1.385
13.25	1.0
13.5	1.0
13.535	1.44
13.715	1.44
13.75	1.0
14.0	1.0
14.035	1.495
14.215	1.495
14.25	1.0
14.5	1.0
14.535	1.55
14.715	1.55
14.75	1.0
15.0	1.0
15.035	1.605
15.215	1.605
15.25	1.0
15.5	1.0
15.535	1.6600000000000001
15.715	1.6600000000000001
15.75	1.0
16.0	1.0
16.035	1.7149999999999999
16.215	1.7149999999999999
16.25	1.0
16.5	1.0
16.535	1.77
16.715	1.77
16.75	1.0
17.0	1.0
17.035	1.825
17.215	1.825
17.25	1.0
17.5	1.0
17.535	1.88
17.715	1.88
17.75	1.0
18.0	1.0
18.035	1.935
18.215	1.935
18.25	1.0
18.5	1.0
18.535	1.99
18.715	1.99
18.75	1.0
19.0	1.0
19.035	2.045
19.215	2.045
19.25	1.0
19.5	1.0
19.535	2.1
19.715	2.1
19.75	1.0
20.0	1.0
20.035	2.1550000000000002
20.215	2.1550000000000002
20.25	1.0
20.5	1.0
20.535	2.21
20.715	2.21
20.75	1.0
21.0	1.0
21.035	2.2649999999999997
21.215	2.2649999999999997
21.25	1.0
21.5	1.0
21.535	2.3200000000000003
21.715	2.3200000000000003
21.75	1.0
22.0	1.0
22.035	2.375
22.215	2.375
22.25	1.0
22.5	1.0
22.535	2.4299999999999997
22.715	2.4299999999999997
22.75	1.0
23.0	1.0
23.035	2.4850000000000003
23.215	2.4850000000000003
23.25	1.0
23.5	1.0
23.535	2.54
23.715	2.54
23.75	1.0
24.0	1.0
24.035	2.5949999999999998
24.215	2.5949999999999998
24.25	1.0
24.5	1.0
24.535	2.65
24.715	2.65
24.75	1.0
25.0	1.0
25.035	2.705
25.215	2.705
25.25	1.0
25.5	1.0
25.535	2.76
25.715	2.76
25.75	1.0
26.0	1.0
26.035	2.815
26.215	2.815
26.25	1.0
26.5	1.0
26.535	2.87
26.715	2.87
26.75	1.0
27.0	1.0
27.035	2.925
27.215	2.925
27.25	1.0
27.5	1.0
27.535	2.98
27.715	2.98
27.75	1.0
28.0	1.0
28.035	3.035
28.215	3.035
28.25	1.0
28.5	1.0
28.535	3.09
28.715	3.09
28.75	1.0
29.0	1.0
29.035	3.145
29.215	3.145
29.25	1.0
29.5	1.0
29.535	3.2
29.715	3.2
29.75	1.0
30.0	1.0
30.035	3.255
30.215	3.255
30.25	1.0
30.5	1.0
30.535	3.31
30.715	3.31
30.75	1.0
31.0	1.0
31.035	3.365
31.215	3.365
31.25	1.0
31.5	1.0
