Time(ns) 	 Current(Amp)
0	0
0.035	3.0
0.215	3.0
0.25	3.0
0.5	3.0
0.535	3.0
0.715	3.0
0.75	3.0
1.0	3.0
1.035	3.0
1.215	3.0
1.25	3.0
1.5	3.0
1.535	3.0
1.715	3.0
1.75	3.0
2.0	3.0
2.035	3.0
2.215	3.0
2.25	3.0
2.5	3.0
2.535	3.0
2.715	3.0
2.75	3.0
3.0	3.0
3.035	3.0
3.215	3.0
3.25	3.0
3.5	3.0
3.535	3.0
3.715	3.0
3.75	3.0
4.0	3.0
4.035	3.0
4.215	3.0
4.25	3.0
4.5	3.0
4.535	3.0
4.715	3.0
4.75	3.0
5.0	3.0
5.035	3.0
5.215	3.0
5.25	3.0
5.5	3.0
5.535	3.0
5.715	3.0
5.75	3.0
6.0	3.0
6.035	3.0
6.215	3.0
6.25	3.0
6.5	3.0
6.535	3.0
6.715	3.0
6.75	3.0
7.0	3.0
7.035	3.0
7.215	3.0
7.25	3.0
7.5	3.0
7.535	3.0
7.715	3.0
7.75	3.0
8.0	3.0
8.035	3.0
8.215	3.0
8.25	3.0
8.5	3.0
8.535	3.0
8.715	3.0
8.75	3.0
9.0	3.0
9.035	3.0
9.215	3.0
9.25	3.0
9.5	3.0
9.535	3.0
9.715	3.0
9.75	3.0
10.0	3.0
10.035	3.085
10.215	3.085
10.25	3.0
10.5	3.0
10.535	3.17
10.715	3.17
10.75	3.0
11.0	3.0
11.035	3.255
11.215	3.255
11.25	3.0
11.5	3.0
11.535	3.34
11.715	3.34
11.75	3.0
12.0	3.0
12.035	3.425
12.215	3.425
12.25	3.0
12.5	3.0
12.535	3.51
12.715	3.51
12.75	3.0
13.0	3.0
13.035	3.595
13.215	3.595
13.25	3.0
13.5	3.0
13.535	3.68
13.715	3.68
13.75	3.0
14.0	3.0
14.035	3.765
14.215	3.765
14.25	3.0
14.5	3.0
14.535	3.85
14.715	3.85
14.75	3.0
15.0	3.0
15.035	3.935
15.215	3.935
15.25	3.0
15.5	3.0
15.535	4.02
15.715	4.02
15.75	3.0
16.0	3.0
16.035	4.105
16.215	4.105
16.25	3.0
16.5	3.0
16.535	4.19
16.715	4.19
16.75	3.0
17.0	3.0
17.035	4.275
17.215	4.275
17.25	3.0
17.5	3.0
17.535	4.36
17.715	4.36
17.75	3.0
18.0	3.0
18.035	4.445
18.215	4.445
18.25	3.0
18.5	3.0
18.535	4.53
18.715	4.53
18.75	3.0
19.0	3.0
19.035	4.615
19.215	4.615
19.25	3.0
19.5	3.0
19.535	4.7
19.715	4.7
19.75	3.0
20.0	3.0
20.035	4.785
20.215	4.785
20.25	3.0
20.5	3.0
20.535	4.87
20.715	4.87
20.75	3.0
21.0	3.0
21.035	4.955
21.215	4.955
21.25	3.0
21.5	3.0
21.535	5.04
21.715	5.04
21.75	3.0
22.0	3.0
22.035	5.125
22.215	5.125
22.25	3.0
22.5	3.0
22.535	5.21
22.715	5.21
22.75	3.0
