Time(ns) 	 Current(Amp)
0	0
0.035	0.25
0.215	0.25
0.25	0.25
0.5	0.25
0.535	0.25
0.715	0.25
0.75	0.25
1.0	0.25
1.035	0.25
1.215	0.25
1.25	0.25
1.5	0.25
1.535	0.25
1.715	0.25
1.75	0.25
2.0	0.25
2.035	0.25
2.215	0.25
2.25	0.25
2.5	0.25
2.535	0.25
2.715	0.25
2.75	0.25
3.0	0.25
3.035	0.25
3.215	0.25
3.25	0.25
3.5	0.25
3.535	0.25
3.715	0.25
3.75	0.25
4.0	0.25
4.035	0.25
4.215	0.25
4.25	0.25
4.5	0.25
4.535	0.25
4.715	0.25
4.75	0.25
5.0	0.25
5.035	0.25
5.215	0.25
5.25	0.25
5.5	0.25
5.535	0.25
5.715	0.25
5.75	0.25
6.0	0.25
6.035	0.25
6.215	0.25
6.25	0.25
6.5	0.25
6.535	0.25
6.715	0.25
6.75	0.25
7.0	0.25
7.035	0.25
7.215	0.25
7.25	0.25
7.5	0.25
7.535	0.25
7.715	0.25
7.75	0.25
8.0	0.25
8.035	0.25
8.215	0.25
8.25	0.25
8.5	0.25
8.535	0.25
8.715	0.25
8.75	0.25
9.0	0.25
9.035	0.25
9.215	0.25
9.25	0.25
9.5	0.25
9.535	0.25
9.715	0.25
9.75	0.25
10.0	0.25
10.035	0.275
10.215	0.275
10.25	0.25
10.5	0.25
10.535	0.3
10.715	0.3
10.75	0.25
11.0	0.25
11.035	0.325
11.215	0.325
11.25	0.25
11.5	0.25
11.535	0.35
11.715	0.35
11.75	0.25
12.0	0.25
12.035	0.375
12.215	0.375
12.25	0.25
12.5	0.25
12.535	0.4
12.715	0.4
12.75	0.25
13.0	0.25
13.035	0.42500000000000004
13.215	0.42500000000000004
13.25	0.25
13.5	0.25
13.535	0.45
13.715	0.45
13.75	0.25
14.0	0.25
14.035	0.475
14.215	0.475
14.25	0.25
14.5	0.25
14.535	0.5
14.715	0.5
14.75	0.25
15.0	0.25
15.035	0.525
15.215	0.525
15.25	0.25
15.5	0.25
15.535	0.55
15.715	0.55
15.75	0.25
16.0	0.25
16.035	0.575
16.215	0.575
16.25	0.25
16.5	0.25
16.535	0.6000000000000001
16.715	0.6000000000000001
16.75	0.25
17.0	0.25
17.035	0.625
17.215	0.625
17.25	0.25
17.5	0.25
17.535	0.65
17.715	0.65
17.75	0.25
18.0	0.25
18.035	0.675
18.215	0.675
18.25	0.25
18.5	0.25
18.535	0.7
18.715	0.7
18.75	0.25
19.0	0.25
19.035	0.7250000000000001
19.215	0.7250000000000001
19.25	0.25
19.5	0.25
19.535	0.75
19.715	0.75
19.75	0.25
20.0	0.25
20.035	0.775
20.215	0.775
20.25	0.25
20.5	0.25
20.535	0.8
20.715	0.8
20.75	0.25
21.0	0.25
21.035	0.8250000000000001
21.215	0.8250000000000001
21.25	0.25
21.5	0.25
21.535	0.8500000000000001
21.715	0.8500000000000001
21.75	0.25
22.0	0.25
22.035	0.875
22.215	0.875
22.25	0.25
22.5	0.25
22.535	0.9
22.715	0.9
22.75	0.25
23.0	0.25
23.035	0.925
23.215	0.925
23.25	0.25
23.5	0.25
23.535	0.9500000000000001
23.715	0.9500000000000001
23.75	0.25
24.0	0.25
24.035	0.9750000000000001
24.215	0.9750000000000001
24.25	0.25
24.5	0.25
24.535	1.0
24.715	1.0
24.75	0.25
25.0	0.25
25.035	1.025
25.215	1.025
25.25	0.25
25.5	0.25
25.535	1.05
25.715	1.05
25.75	0.25
26.0	0.25
26.035	1.0750000000000002
26.215	1.0750000000000002
26.25	0.25
26.5	0.25
26.535	1.1
26.715	1.1
26.75	0.25
27.0	0.25
27.035	1.125
27.215	1.125
27.25	0.25
27.5	0.25
27.535	1.15
27.715	1.15
27.75	0.25
28.0	0.25
28.035	1.175
28.215	1.175
28.25	0.25
28.5	0.25
28.535	1.2000000000000002
28.715	1.2000000000000002
28.75	0.25
29.0	0.25
29.035	1.225
29.215	1.225
29.25	0.25
29.5	0.25
29.535	1.25
29.715	1.25
29.75	0.25
30.0	0.25
30.035	1.2750000000000001
