Time(ns) 	 Current(Amp)
0	0
0.035	1.0
0.215	1.0
0.25	0.5
0.5	0.5
0.535	1.0
0.715	1.0
0.75	0.5
1.0	0.5
1.035	1.0
1.215	1.0
1.25	0.5
1.5	0.5
1.535	1.0
1.715	1.0
1.75	0.5
2.0	0.5
2.035	1.0
2.215	1.0
2.25	0.5
2.5	0.5
2.535	1.0
2.715	1.0
2.75	0.5
3.0	0.5
3.035	1.0
3.215	1.0
3.25	0.5
3.5	0.5
3.535	1.0
3.715	1.0
3.75	0.5
4.0	0.5
4.035	1.0
4.215	1.0
4.25	0.5
4.5	0.5
4.535	1.0
4.715	1.0
4.75	0.5
5.0	0.5
5.035	1.0
5.215	1.0
5.25	0.5
5.5	0.5
5.535	1.0
5.715	1.0
5.75	0.5
6.0	0.5
6.035	1.0
6.215	1.0
6.25	0.5
6.5	0.5
6.535	1.0
6.715	1.0
6.75	0.5
7.0	0.5
7.035	1.0
7.215	1.0
7.25	0.5
7.5	0.5
7.535	1.0
7.715	1.0
7.75	0.5
8.0	0.5
8.035	1.0
8.215	1.0
8.25	0.5
8.5	0.5
8.535	1.0
8.715	1.0
8.75	0.5
9.0	0.5
9.035	1.0
9.215	1.0
9.25	0.5
9.5	0.5
9.535	1.0
9.715	1.0
9.75	0.5
10.0	0.5
10.035	1.1125
10.215	1.1125
10.25	1.0
10.5	1.0
10.535	1.225
10.715	1.225
10.75	1.0
11.0	1.0
11.035	1.3375
11.215	1.3375
11.25	1.0
11.5	1.0
11.535	1.45
11.715	1.45
11.75	1.0
12.0	1.0
12.035	1.5625
12.215	1.5625
12.25	1.0
12.5	1.0
12.535	1.675
12.715	1.675
12.75	1.0
13.0	1.0
13.035	1.7875
13.215	1.7875
13.25	1.0
13.5	1.0
13.535	1.9
13.715	1.9
13.75	1.0
14.0	1.0
14.035	2.0125
14.215	2.0125
14.25	1.0
14.5	1.0
14.535	2.125
14.715	2.125
14.75	1.0
15.0	1.0
15.035	2.2375
15.215	2.2375
15.25	1.0
15.5	1.0
15.535	2.35
15.715	2.35
15.75	1.0
16.0	1.0
16.035	2.4625000000000004
16.215	2.4625000000000004
16.25	1.0
16.5	1.0
16.535	2.575
16.715	2.575
16.75	1.0
17.0	1.0
17.035	2.6875
17.215	2.6875
17.25	1.0
17.5	1.0
17.535	2.8
17.715	2.8
17.75	1.0
18.0	1.0
18.035	2.9125
18.215	2.9125
18.25	1.0
18.5	1.0
18.535	3.025
18.715	3.025
18.75	1.0
19.0	1.0
19.035	3.1375
19.215	3.1375
19.25	1.0
19.5	1.0
19.535	3.25
19.715	3.25
19.75	1.0
20.0	1.0
20.035	3.3625000000000003
20.215	3.3625000000000003
20.25	1.0
20.5	1.0
20.535	3.475
20.715	3.475
20.75	1.0
21.0	1.0
21.035	3.5875
21.215	3.5875
21.25	1.0
21.5	1.0
21.535	3.7
21.715	3.7
21.75	1.0
22.0	1.0
22.035	3.8125
22.215	3.8125
22.25	1.0
22.5	1.0
22.535	3.9250000000000003
22.715	3.9250000000000003
22.75	1.0
23.0	1.0
23.035	4.0375
23.215	4.0375
23.25	1.0
23.5	1.0
23.535	4.15
23.715	4.15
23.75	1.0
24.0	1.0
24.035	4.2625
24.215	4.2625
24.25	1.0
24.5	1.0
24.535	4.375
24.715	4.375
24.75	1.0
25.0	1.0
25.035	4.487500000000001
25.215	4.487500000000001
25.25	1.0
25.5	1.0
25.535	4.6
25.715	4.6
25.75	1.0
26.0	1.0
26.035	4.7125
26.215	4.7125
26.25	1.0
26.5	1.0
26.535	4.825
26.715	4.825
26.75	1.0
27.0	1.0
27.035	4.9375
27.215	4.9375
27.25	1.0
27.5	1.0
27.535	5.05
27.715	5.05
27.75	1.0
28.0	1.0
28.035	5.1625000000000005
28.215	5.1625000000000005
28.25	1.0
28.5	1.0
28.535	5.275
28.715	5.275
28.75	1.0
29.0	1.0
29.035	5.3875
29.215	5.3875
29.25	1.0
29.5	1.0
29.535	5.5
29.715	5.5
29.75	1.0
30.0	1.0
30.035	5.6125
30.215	5.6125
30.25	1.0
30.5	1.0
30.535	5.7250000000000005
30.715	5.7250000000000005
30.75	1.0
31.0	1.0
31.035	5.8375
31.215	5.8375
