#Time(ns)  pwr(W)
0	1
0.25	1.309
0.5	1.5878
0.75	1.809
1	1.9511
1.25	2
1.5	1.9511
1.75	1.809
2	1.5878
2.25	1.309
2.5	1
2.75	0.691
3	0.4122
3.25	0.191
3.5	0.0489
3.75	0
4	0.0489
4.25	0.191
4.5	0.4122
4.75	0.691
5	1
5.25	1.309
5.5	1.5878
5.75	1.809
6	1.9511
6.25	2
6.5	1.9511
6.75	1.809
7	1.5878
7.25	1.309
7.5	1
7.75	0.691
8	0.4122
8.25	0.191
8.5	0.0489
8.75	0
9	0.0489
9.25	0.191
9.5	0.4122
9.75	0.691
10	1
10.25	1.309
10.5	1.5878
10.75	1.809
11	1.9511
11.25	2
11.5	1.9511
11.75	1.809
12	1.5878
12.25	1.309
12.5	1
